Species,Abbreviation,Locality,Month,Elevation,Sex,Age,SVL,Mass,CTmin,CTmax,bio1,bio4,bio5
maculigula,macg,Tatama,August,1430,NA,Juv,76,11.15,12.9,NA,18.38,23.26,22.87
maculigula,macg,Tatama,August,1430,NA,Juv,76,13,13.3,NA,18.38,23.26,22.87
maculigula,macg,Tatama,August,1438,NA,Juv,77,6.16,NA,29.19,18.38,23.26,22.87
maculigula,macg,Tatama,August,1438,m,Adult,106,30.1,13.5,NA,18.38,23.26,22.87
maculigula,macg,Tatama,November,NA,NA,Juv,63.2,5.3,NA,NA,18.38,23.26,22.87
maculigula,macg,Tatama,November,1412,m,Adult,113,28.98,11.6,NA,18.38,23.26,22.87
maculigula,macg,Tatama,November,1412,m,Adult,110.1,29.63,NA,NA,18.38,23.26,22.87
maculigula,macg,Tatama,November,1412,h,Adult,83,12.08,12.6,NA,18.38,23.26,22.87
maculigula,macg,Tatama,November,1412,NA,Juv,56.6,3.84,NA,NA,18.38,23.26,22.87
maculigula,macg,Tatama,August,1418,NA,Juv,73,10.3,NA,30.39,18.38,23.26,22.87
maculiventris,macv,Anchicaya,June,600,h,Adult,45,1.54,18.48,NA,23.76,24.77,28.63
maculiventris,macv,Anchicaya,November,586,NA,Juv,30,0.7,NA,31.07,23.76,24.77,28.63
maculiventris,macv,Anchicaya,October,556,h,Adult,47,1.48,NA,32.5,23.76,24.77,28.63
maculiventris,macv,Anchicaya,October,571,NA,Juv,35,1.4,16.22,NA,23.76,24.77,28.63
maculiventris,macv,Anchicaya,June,571,h,Adult,42,1.5,16.74,NA,23.76,24.77,28.63
maculiventris,macv,Anchicaya,June,603,m,Adult,45,1.46,NA,31.55,23.76,24.77,28.63
maculiventris,macv,Anchicaya,June,622,NA,Adult,41,1.53,16.9,31.4,23.76,24.77,28.63
maculiventris,macv,Anchicaya,June,624,h,Adult,47,1.56,16.28,33.12,23.76,24.77,28.63
maculiventris,macv,Anchicaya,June,607,h,Adult,43,1.73,22.56,NA,23.76,24.77,28.63
maculiventris,macv,Anchicaya,June,533,NA,Juv,33,0.67,NA,NA,23.76,24.77,28.63
maculiventris,macv,Anchicaya,June,601,h,Adult,48,1.83,17.43,NA,23.76,24.77,28.63
maculiventris,macv,Anchicaya,June,614,h,Adult,45,1.67,17.6,30.8,23.76,24.77,28.63
maculiventris,macv,Anchicaya,June,544,NA,Adult,41,1.12,18.15,NA,23.76,24.77,28.63
maculiventris,macv,Anchicaya,June,614,h,Adult,45,1.86,19.41,32.02,23.76,24.77,28.63
maculiventris,macv,Anchicaya,June,527,NA,Juv,39,0.86,NA,NA,23.76,24.77,28.63
maculiventris,macv,Anchicaya,November,256,m,Adult,49,2.75,NA,32.43,23.76,24.77,28.63
notopholis,noto,Anchicaya,November,285,h,NA,35,1.6,14.88,30.67,23.76,24.77,28.63
notopholis,noto,Anchicaya,November,192,h,NA,30,1.43,13.97,34.14,23.76,24.77,28.63
calimae,cali,Farallones,April,2240,NA,NA,39,0.75,NA,22.62,20.21,22.54,26.02
calimae,cali,Farallones,June,2150,NA,NA,38,1,NA,NA,15.02,18.86,19.75
calimae,cali,Farallones,June,2132,NA,NA,42,1.32,14.14,28.22,15.02,18.86,19.75
calimae,cali,Farallones,November,2117,NA,NA,48,1.68,13.04,28.24,15.02,18.86,19.75
latifrons,lati,Tatama,September,1408,NA,Juv,51,2.16,8.96,24.7,18.38,23.26,22.87
latifrons,lati,Anchicaya,June,570,NA,Juv,57,3.12,18.43,NA,23.76,24.77,28.63
latifrons,lati,Anchicaya,June,527,h,Adult,83,13.21,15.67,36.47,23.76,24.77,28.63
latifrons,lati,Anchicaya,November,581,h,Adult,204,26.1,9.33,35.77,23.76,24.77,28.63
ventrimaculatus,vent,Farallones,March,2304,h,Adult,58,4.83,NA,NA,20.21,22.54,26.02
ventrimaculatus,vent,Tatama,August,1343,NA,Juv,NA,NA,10.15,31.3,18.38,23.26,22.87
ventrimaculatus,vent,Tatama,September,1465,h,Adult,56,3.56,10.63,NA,18.38,23.26,22.87
ventrimaculatus,vent,Tatama,September,1465,h,Adult,56,3.91,11.56,NA,18.38,23.26,22.87
ventrimaculatus,vent,Tatama,September,1503,NA,Juv,52,2.95,11.41,NA,18.38,23.26,22.87
ventrimaculatus,vent,Tatama,January,1672,NA,Juv,38,1.12,NA,NA,18.38,23.26,22.87
ventrimaculatus,vent,Tatama,January,1550,h,Adult,58,4.61,NA,29.11,18.38,23.26,22.87
ventrimaculatus,vent,Tatama,January,1542,m,Adult,70,6.76,NA,30.44,18.38,23.26,22.87
ventrimaculatus,vent,Tatama,January,1542,NA,Juv,53,3.92,NA,26.57,18.38,23.26,22.87
ventrimaculatus,vent,Tatama,January,1542,NA,Juv,43,1.37,NA,27.24,18.38,23.26,22.87
ventrimaculatus,vent,Tatama,January,1543,h,Adult,57,4.23,NA,28.79,18.38,23.26,22.87
ventrimaculatus,vent,Tatama,January,1551,m,Adult,64,4.82,NA,30.95,18.38,23.26,22.87
ventrimaculatus,vent,Tatama,January,1725,h,Adult,56,3,14.98,NA,18.38,23.26,22.87
ventrimaculatus,vent,Tatama,January,1528,NA,Juv,54,3.73,NA,28.69,18.38,23.26,22.87
ventrimaculatus,vent,Tatama,January,1528,h,Adult,56,4.13,NA,28.99,18.38,23.26,22.87
ventrimaculatus,vent,Tatama,September,1628,m,Adult,69,6.29,11.56,NA,18.38,23.26,22.87
ventrimaculatus,vent,Tatama,January,1582,NA,Juv,41,1.34,NA,28.33,18.38,23.26,22.87
ventrimaculatus,vent,Tatama,January,1603,NA,Juv,52,3.37,NA,29.29,18.38,23.26,22.87
ventrimaculatus,vent,Tatama,January,1559,m,Adult,70,6.96,NA,28.94,18.38,23.26,22.87
ventrimaculatus,vent,Tatama,January,1775,NA,Juv,55,3.47,12.55,NA,18.38,23.26,22.87
ventrimaculatus,vent,Tatama,November,1788,h,Adult,83,3.18,NA,28.66,18.38,23.26,22.87
ventrimaculatus,vent,Tatama,November,1790,h,Adult,56,3.42,NA,27.8,18.38,23.26,22.87
ventrimaculatus,vent,Tatama,November,1793,h,Adult,60,4.24,NA,27.6,18.38,23.26,22.87
ventrimaculatus,vent,Tatama,November,1793,m,Adult,71.2,6.79,NA,33.1,18.38,23.26,22.87
ventrimaculatus,vent,Tatama,November,1793,NA,Juv,47,2.04,NA,26.8,18.38,23.26,22.87
ventrimaculatus,vent,Tatama,January,1787,NA,Juv,44,1.79,9.32,NA,18.38,23.26,22.87
ventrimaculatus,vent,Tatama,November,1796,m,Adult,75,7.58,NA,28.4,18.38,23.26,22.87
ventrimaculatus,vent,Tatama,November,1801,h,Adult,56,3.82,NA,26.91,18.38,23.26,22.87
ventrimaculatus,vent,Tatama,January,1817,h,Adult,56,3.67,10.81,NA,18.38,23.26,22.87
ventrimaculatus,vent,Tatama,January,1805,m,Adult,60,4,12.77,NA,18.38,23.26,22.87
ventrimaculatus,vent,Tatama,November,1811,m,Adult,67,5.56,NA,27.6,18.38,23.26,22.87
ventrimaculatus,vent,Tatama,November,1820,m,Adult,72,6.67,NA,28.8,18.38,23.26,22.87
ventrimaculatus,vent,Tatama,November,1852,m,Adult,71.1,8.1,NA,33.18,18.38,23.26,22.87
ventrimaculatus,vent,Tatama,November,1859,m,Adult,76,7.86,NA,28.4,18.38,23.26,22.87
ventrimaculatus,vent,Tatama,January,1930,h,Adult,62,4.53,10.81,NA,18.38,23.26,22.87
ventrimaculatus,vent,Tatama,January,1930,m,Adult,57,3.73,13.83,NA,18.38,23.26,22.87
ventrimaculatus,vent,Tatama,September,1998,m,Adult,67,6.52,11.15,NA,18.38,23.26,22.87
ventrimaculatus,vent,Farallones,December,2360,NA,Juv,49,2.4,10.98,NA,23.74,25.83,30.28
ventrimaculatus,vent,Farallones,December,2369,h,Adult,57,3.55,NA,29.2,23.74,25.83,30.28
ventrimaculatus,vent,Farallones,December,2362,m,Adult,63,5.18,NA,32.8,23.74,25.83,30.28
ventrimaculatus,vent,Farallones,December,2364,m,Adult,73,8.65,6.68,NA,23.74,25.83,30.28
ventrimaculatus,vent,Farallones,December,2364,h,Adult,60,7.46,NA,26.2,23.74,25.83,30.28
ventrimaculatus,vent,Chicoral,November,1989,m,Adult,58.6,NA,NA,NA,19.55,22.97,25
ventrimaculatus,vent,Chicoral,November,1989,m,Adult,66.1,NA,NA,NA,19.55,22.97,25
ventrimaculatus,vent,Chicoral,November,1989,m,Adult,66.6,NA,NA,NA,19.55,22.97,25
ventrimaculatus,vent,Chicoral,November,1989,m,Adult,64.1,NA,NA,NA,19.55,22.97,25
ventrimaculatus,vent,Chicoral,November,1989,m,Adult,67.5,NA,NA,NA,19.55,22.97,25
ventrimaculatus,vent,Chicoral,November,1989,m,Adult,64.3,NA,NA,NA,19.55,22.97,25
ventrimaculatus,vent,Chicoral,November,1989,m,Adult,66.1,NA,NA,NA,19.55,22.97,25
ventrimaculatus,vent,Chicoral,November,1989,h,Adult,57.8,NA,NA,NA,19.55,22.97,25
ventrimaculatus,vent,Chicoral,November,1989,m,Adult,66.2,NA,NA,NA,19.55,22.97,25
ventrimaculatus,vent,Chicoral,November,1989,h,Adult,58.6,NA,NA,NA,19.55,22.97,25
ventrimaculatus,vent,Chicoral,November,1989,NA,Juv,52.5,NA,NA,NA,19.55,22.97,25
ventrimaculatus,vent,Chicoral,November,1989,m,Adult,61.8,NA,NA,NA,19.55,22.97,25
ventrimaculatus,vent,Chicoral,November,1989,m,Adult,70,NA,NA,NA,19.55,22.97,25
ventrimaculatus,vent,Chicoral,November,1989,h,Adult,57.5,NA,NA,NA,19.55,22.97,25
ventrimaculatus,vent,Chicoral,November,1989,NA,Juv,52.4,NA,NA,NA,19.55,22.97,25
ventrimaculatus,vent,Chicoral,November,1989,NA,Juv,53.5,NA,NA,NA,19.55,22.97,25
ventrimaculatus,vent,Chicoral,November,1989,h,Adult,56,NA,NA,NA,19.55,22.97,25
ventrimaculatus,vent,Chicoral,November,1989,NA,Juv,49.6,NA,NA,NA,19.55,22.97,25
ventrimaculatus,vent,Chicoral,November,1989,m,Adult,61.2,NA,NA,NA,19.55,22.97,25
ventrimaculatus,vent,Chicoral,December,2050,NA,Juv,62,3.95,6.9,NA,19.55,22.97,25
ventrimaculatus,vent,Chicoral,December,2038,m,Adult,71,6.47,9.1,NA,19.55,22.97,25
ventrimaculatus,vent,Chicoral,December,2027,h,Adult,57,4.75,NA,NA,19.55,22.97,25
ventrimaculatus,vent,Chicoral,December,2044,NA,Juv,48,2.16,9.8,NA,19.55,22.97,25
ventrimaculatus,vent,Chicoral,December,2040,NA,Juv,53,3.42,8.8,NA,19.55,22.97,25
ventrimaculatus,vent,Chicoral,December,2040,NA,Juv,62,5,8.6,NA,19.55,22.97,25
ventrimaculatus,vent,Chicoral,December,2042,NA,Juv,37,1.18,NA,NA,19.55,22.97,25
ventrimaculatus,vent,Chicoral,December,2042,NA,Juv,41,1.33,NA,NA,19.55,22.97,25
ventrimaculatus,vent,Chicoral,December,2042,NA,Juv,44,NA,NA,NA,19.55,22.97,25
ventrimaculatus,vent,Chicoral,December,2042,NA,Juv,55,2.53,9.9,NA,19.55,22.97,25
ventrimaculatus,vent,Chicoral,December,2038,NA,Juv,37,1.14,NA,NA,19.55,22.97,25
ventrimaculatus,vent,Chicoral,December,2026,h,Adult,58,4.44,NA,NA,19.55,22.97,25
ventrimaculatus,vent,Chicoral,December,1997,NA,Juv,55,4.53,NA,28.2,19.55,22.97,25
ventrimaculatus,vent,Chicoral,December,2019,NA,Juv,47,2.1,11.7,NA,19.55,22.97,25
ventrimaculatus,vent,Chicoral,December,2019,h,Adult,56,4.63,7.9,NA,19.55,22.97,25
ventrimaculatus,vent,Chicoral,December,2012,NA,Juv,55,3.57,11.3,NA,19.55,22.97,25
ventrimaculatus,vent,Chicoral,December,2020,NA,Juv,54,3.69,10.9,NA,19.55,22.97,25
ventrimaculatus,vent,Chicoral,December,2026,NA,Juv,30,0.62,NA,NA,19.55,22.97,25
ventrimaculatus,vent,Chicoral,December,2008,h,Adult,60,5.5,NA,NA,19.55,22.97,25
ventrimaculatus,vent,Chicoral,December,2004,NA,Juv,37,1.24,NA,NA,19.55,22.97,25
ventrimaculatus,vent,Chicoral,December,2011,NA,Juv,38,1.03,NA,NA,19.55,22.97,25
ventrimaculatus,vent,Chicoral,December,2011,h,Adult,56,3.84,9.1,NA,19.55,22.97,25
ventrimaculatus,vent,Chicoral,December,1982,m,Adult,60,4.41,NA,29.7,19.55,22.97,25
ventrimaculatus,vent,Chicoral,December,1982,NA,Juv,55,3.91,NA,32.2,19.55,22.97,25
ventrimaculatus,vent,Chicoral,December,1993,NA,Juv,45,1.97,NA,27.7,19.55,22.97,25
ventrimaculatus,vent,Chicoral,December,1993,h,Adult,59,4.37,NA,27.3,19.55,22.97,25
ventrimaculatus,vent,Chicoral,December,1993,m,Adult,68,6.56,NA,27.7,19.55,22.97,25
ventrimaculatus,vent,Chicoral,December,2005,NA,Juv,37,1.24,NA,NA,19.55,22.97,25
ventrimaculatus,vent,Chicoral,December,1984,NA,Juv,49,2.33,10.2,NA,19.55,22.97,25
ventrimaculatus,vent,Chicoral,December,1984,NA,Juv,50,3.34,NA,28.1,19.55,22.97,25
ventrimaculatus,vent,Chicoral,December,1984,NA,Juv,59,4.07,NA,28.1,19.55,22.97,25
ventrimaculatus,vent,Chicoral,December,1973,NA,Juv,42,1.89,NA,22.1,19.55,22.97,25
ventrimaculatus,vent,Chicoral,December,1993,NA,Juv,62,4.66,NA,31.1,19.55,22.97,25
ventrimaculatus,vent,Chicoral,December,1995,h,Adult,60,4.31,9.2,NA,19.55,22.97,25
ventrimaculatus,vent,Farallones,June,1870,NA,Juv,45,2.24,NA,28.24,20.21,22.54,26.02
ventrimaculatus,vent,Farallones,April,2261,h,Adult,57,4.84,15.7,NA,20.21,22.54,26.02
ventrimaculatus,vent,Farallones,April,2262,NA,Juv,35,0.88,14.98,NA,20.21,22.54,26.02
ventrimaculatus,vent,Farallones,April,2258,m,Adult,57,3.64,15.48,NA,20.21,22.54,26.02
ventrimaculatus,vent,Farallones,April,2265,h,Adult,60,5.16,NA,22.51,20.21,22.54,26.02
ventrimaculatus,vent,Farallones,April,2270,h,Adult,57,4.9,NA,21.77,20.21,22.54,26.02
ventrimaculatus,vent,Farallones,April,2270,h,Adult,56,4.37,NA,21.17,20.21,22.54,26.02
ventrimaculatus,vent,Farallones,April,2264,NA,Juv,30,0.47,NA,21.42,20.21,22.54,26.02
ventrimaculatus,vent,Farallones,April,2264,NA,Juv,44,1.62,14.62,NA,20.21,22.54,26.02
ventrimaculatus,vent,Farallones,April,2269,m,Adult,56,3.37,NA,23.11,20.21,22.54,26.02
ventrimaculatus,vent,Farallones,April,2254,NA,Juv,49,2.79,NA,22.7,20.21,22.54,26.02
ventrimaculatus,vent,Farallones,April,2277,h,Adult,59,4.68,13.73,NA,20.21,22.54,26.02
ventrimaculatus,vent,Farallones,April,2255,NA,Juv,55,1.56,NA,23.23,20.21,22.54,26.02
ventrimaculatus,vent,Farallones,April,2255,NA,Juv,45,1.79,NA,20.77,20.21,22.54,26.02
ventrimaculatus,vent,Farallones,April,2291,m,Adult,71,6.21,NA,22.29,20.21,22.54,26.02
ventrimaculatus,vent,Farallones,April,2260,h,Adult,56,4.02,12.99,NA,20.21,22.54,26.02
ventrimaculatus,vent,Farallones,April,2253,NA,Juv,47,2.55,NA,23.49,20.21,22.54,26.02
ventrimaculatus,vent,Farallones,April,2255,NA,Juv,35,0.95,14.49,NA,20.21,22.54,26.02
ventrimaculatus,vent,Farallones,April,2235,h,Adult,56,3.4,14.07,NA,20.21,22.54,26.02
ventrimaculatus,vent,Farallones,April,2251,NA,Juv,49,2.63,13.73,NA,20.21,22.54,26.02
ventrimaculatus,vent,Farallones,April,2243,m,Adult,63,4.81,NA,26.44,20.21,22.54,26.02
ventrimaculatus,vent,Farallones,April,1971,NA,Juv,42,1.55,NA,NA,20.21,22.54,26.02
ventrimaculatus,vent,Farallones,April,2037,h,Adult,60,5.32,NA,NA,20.21,22.54,26.02
ventrimaculatus,vent,Farallones,April,2312,m,Adult,66,5.69,NA,NA,20.21,22.54,26.02
ventrimaculatus,vent,Farallones,November,2201,NA,NA,NA,NA,NA,29.5,15.02,18.86,19.75
ventrimaculatus,vent,Farallones,November,2201,NA,NA,NA,NA,NA,32.8,15.02,18.86,19.75
ventrimaculatus,vent,Farallones,April,2141,NA,Juv,36,1.03,NA,NA,15.02,18.86,19.75
ventrimaculatus,vent,Farallones,June,2132,h,Adult,64,6.01,NA,27.13,15.02,18.86,19.75
ventrimaculatus,vent,Farallones,June,2132,m,Adult,60,5.55,NA,28.44,15.02,18.86,19.75
ventrimaculatus,vent,Farallones,June,2132,h,Adult,60,5.03,14.48,NA,15.02,18.86,19.75
ventrimaculatus,vent,Farallones,June,2132,NA,Juv,45,2.8,13.32,NA,15.02,18.86,19.75
ventrimaculatus,vent,Farallones,June,2132,NA,Juv,40,1.43,12.6,NA,15.02,18.86,19.75
ventrimaculatus,vent,Farallones,June,2132,NA,Juv,47,2.39,17.24,NA,15.02,18.86,19.75
ventrimaculatus,vent,Farallones,June,2132,m,Adult,71,7,NA,27.28,15.02,18.86,19.75
ventrimaculatus,vent,Farallones,June,2132,h,Adult,58,5.23,13.23,NA,15.02,18.86,19.75
ventrimaculatus,vent,Farallones,June,2132,NA,Juv,49,2.46,NA,27.33,15.02,18.86,19.75
ventrimaculatus,vent,Farallones,June,2132,NA,Juv,50,2.52,NA,29.41,15.02,18.86,19.75
ventrimaculatus,vent,Farallones,June,2132,h,Adult,60,4.52,NA,28.24,15.02,18.86,19.75
ventrimaculatus,vent,Farallones,June,2132,h,Adult,57,3.36,15.67,NA,15.02,18.86,19.75
ventrimaculatus,vent,Farallones,June,2132,NA,Juv,48,2.33,14.37,NA,15.02,18.86,19.75
ventrimaculatus,vent,Farallones,June,2132,m,Adult,68,6.38,NA,27.57,15.02,18.86,19.75
ventrimaculatus,vent,Farallones,June,2132,h,Adult,60,4.92,NA,27.33,15.02,18.86,19.75
ventrimaculatus,vent,Farallones,June,2132,NA,Juv,50,2.66,NA,27.33,15.02,18.86,19.75
ventrimaculatus,vent,Farallones,March,2155,m,Adult,72,6.68,13.41,NA,15.02,18.86,19.75
ventrimaculatus,vent,Farallones,November,2117,NA,NA,NA,NA,NA,28.51,15.02,18.86,19.75
ventrimaculatus,vent,Farallones,November,2121,NA,NA,NA,NA,NA,27.89,15.02,18.86,19.75
ventrimaculatus,vent,Farallones,November,2121,h,Adult,141,4.85,NA,27.99,15.02,18.86,19.75
